試合ID,日付,ラウンド,プール,イニング,攻撃チーム,守備チーム,投手ID,投手,打者ID,打者,イベント種別,選手ID,選手,移動前の塁,移動後の塁
788099,2026-03-09,Pool D,D,1,Venezuela,Nicaragua,807358,Danilo Bermudez,694192,Jackson Chourio,盗塁（二塁）,660670,Ronald Acuña Jr.,1B,2B
788122,2026-03-09,Pool B,B,6,United States,Mexico,650960,Daniel Duarte,547180,Bryce Harper,盗塁（二塁）,677951,Bobby Witt Jr.,1B,2B
788122,2026-03-09,Pool B,B,9,Mexico,United States,676477,Garrett Whitlock,677950,Alek Thomas,守備妨害,608841,Joey Meneses,1B,2B
788111,2026-03-10,Pool C,C,7,Japan,Czechia,807156,Michal Kovala,673520,Yuhei Nakamura,盗塁（二塁）,683970,Ukyo Shuto,1B,2B
788102,2026-03-10,Pool D,D,1,Kingdom of the Netherlands,Israel,701557,Carlos Lequerica,544369,Didi Gregorius,盗塁（三塁）,678882,Ceddanne Rafaela,2B,3B
788102,2026-03-10,Pool D,D,6,Israel,Kingdom of the Netherlands,808721,Kevin Kelly,694249,Cole Carrigg,暴投,596117,Garrett Stubbs,2B,3B
788102,2026-03-10,Pool D,D,6,Israel,Kingdom of the Netherlands,808721,Kevin Kelly,694249,Cole Carrigg,暴投,702302,RJ Schreck,1B,2B
788132,2026-03-10,Pool A,A,2,Puerto Rico,Canada,666364,Jordan Balazovic,676679,Luis Vázquez,盗塁死（二塁）,683090,Matthew Lugo,1B,
788119,2026-03-10,Pool B,B,3,Italy,United States,690997,Nolan McLean,686527,Dominic Canzone,盗塁（二塁）,805300,Jakob Marsee,1B,2B
788119,2026-03-10,Pool B,B,3,United States,Italy,547179,Michael Lorenzen,683002,Gunnar Henderson,暴投,677951,Bobby Witt Jr.,1B,2B
788119,2026-03-10,Pool B,B,3,United States,Italy,547179,Michael Lorenzen,683002,Gunnar Henderson,暴投,677951,Bobby Witt Jr.,2B,3B
788119,2026-03-10,Pool B,B,3,United States,Italy,547179,Michael Lorenzen,683002,Gunnar Henderson,暴投,677951,Bobby Witt Jr.,1B,2B
