試合ID,日付,ラウンド,プール,イニング,攻撃チーム,守備チーム,投手ID,投手,打者ID,打者,投球数,打席結果,打点,一塁走者あり,二塁走者あり,三塁走者あり,打席,打数,安打,一塁打,二塁打,三塁打,本塁打,三振,四球,死球,犠打犠飛,塁打数
788120,2026-03-05,Pool C,C,8,Chinese Taipei,Australia,626943,Jon Kennedy,656413,Stuart Fairchild,8,四球,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
788120,2026-03-05,Pool C,C,8,Chinese Taipei,Australia,626943,Jon Kennedy,838360,An-Ko Lin,2,アウト,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
788120,2026-03-05,Pool C,C,8,Australia,Chinese Taipei,838361,Shih-Hsiang Lin,673062,Jarryd Dale,6,安打,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1
788120,2026-03-05,Pool C,C,8,Australia,Chinese Taipei,838361,Shih-Hsiang Lin,678534,Rixon Wingrove,2,アウト,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
788120,2026-03-05,Pool C,C,8,Australia,Chinese Taipei,838361,Shih-Hsiang Lin,564434,Robbie Perkins,4,アウト,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
788120,2026-03-05,Pool C,C,8,Australia,Chinese Taipei,838361,Shih-Hsiang Lin,678521,Chris Burke,2,フォースアウト,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
788120,2026-03-05,Pool C,C,9,Chinese Taipei,Australia,626943,Jon Kennedy,830723,Cheng-Hui Sung,2,アウト,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
788120,2026-03-05,Pool C,C,9,Chinese Taipei,Australia,626943,Jon Kennedy,644374,Yu Chang,4,エラー,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
788120,2026-03-05,Pool C,C,9,Chinese Taipei,Australia,626943,Jon Kennedy,644375,Kungkuan Giljegiljaw,4,安打,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1
788120,2026-03-05,Pool C,C,9,Chinese Taipei,Australia,626943,Jon Kennedy,670076,Lyle Lin,2,アウト,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
788120,2026-03-05,Pool C,C,9,Chinese Taipei,Australia,626943,Jon Kennedy,839138,Cheng-Yu Chang,3,アウト,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
788115,2026-03-05,Pool C,C,1,Czechia,Korea,808984,Hyeong Jun So,807160,Milan Prokop,6,三振,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
788115,2026-03-05,Pool C,C,1,Czechia,Korea,808984,Hyeong Jun So,693975,Martin Cervinka,2,安打,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1
788115,2026-03-05,Pool C,C,1,Czechia,Korea,808984,Hyeong Jun So,679631,Terrin Vavra,3,ゴロ併殺,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
788115,2026-03-05,Pool C,C,1,Korea,Czechia,804607,Daniel Padysak,838339,Do Yeong Kim,5,四球,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
