試合ID,イニング,攻撃チーム,得点,安打数,失策,残塁,累積得点,得点差
788127,3,Great Britain,0,1,0,1,1,1
788127,3,United States,0,0,1,0,0,-1
788127,4,Great Britain,0,0,0,0,1,1
788127,4,United States,0,0,0,1,0,-1
788127,5,Great Britain,0,0,2,0,1,1
788127,5,United States,5,4,0,2,5,4
788127,6,Great Britain,0,1,0,0,1,-4
788127,6,United States,3,4,0,3,8,7
788127,7,Great Britain,0,0,0,0,1,-7
788127,7,United States,1,1,0,1,9,8
788127,8,Great Britain,0,0,0,0,1,-8
788127,8,United States,0,1,0,3,9,8
788127,9,Great Britain,0,0,0,0,1,-8
788127,9,United States,0,0,0,0,9,8
788113,1,Chinese Taipei,0,0,0,0,0,0
788113,1,Korea,0,0,0,0,0,0
788113,2,Chinese Taipei,1,1,0,0,1,1
788113,2,Korea,0,0,0,0,0,-1
788113,3,Chinese Taipei,0,2,0,2,1,1
788113,3,Korea,0,1,0,0,0,-1
788113,4,Chinese Taipei,0,0,0,0,1,1
788113,4,Korea,0,0,0,0,0,-1
788113,5,Chinese Taipei,0,0,0,0,1,1
788113,5,Korea,1,1,0,0,1,0
788113,6,Chinese Taipei,1,1,0,0,2,1
788113,6,Korea,2,1,0,0,3,1
788113,7,Chinese Taipei,0,1,0,1,2,-1
788113,7,Korea,0,0,0,0,3,1
788113,8,Chinese Taipei,2,2,0,0,4,1
788113,8,Korea,1,1,0,1,4,0
788113,9,Chinese Taipei,0,0,0,0,4,0
788113,9,Korea,0,0,0,2,4,0
788113,10,Chinese Taipei,1,0,0,2,5,1
788113,10,Korea,0,0,0,1,4,-1
788109,1,Australia,0,2,0,2,0,0
788109,1,Japan,0,0,0,2,0,0
788109,2,Australia,0,0,0,0,0,0
788109,2,Japan,0,1,0,2,0,0
788109,3,Australia,0,1,0,0,0,0
788109,3,Japan,0,0,0,0,0,0
788109,4,Australia,0,1,0,1,0,0
788109,4,Japan,0,1,0,2,0,0
788109,5,Australia,0,1,0,1,0,0
