試合ID,日付,ラウンド,プール,イニング,攻撃チーム,守備チーム,投手ID,投手,打者ID,打者,投球番号,球種,判定,ストライク,ボール,球速（km/h）,ストライク判定,スイング,コンタクト,結果グループ
788120,2026-03-05,Pool C,C,4,Australia,Chinese Taipei,830717,Jo-Hsi Hsu,664334,Aaron Whitefield,3,カットボール,インプレー,1,1,138.1,1,1,1,インプレー
788120,2026-03-05,Pool C,C,4,Australia,Chinese Taipei,830717,Jo-Hsi Hsu,673064,Alex Hall,1,カーブ,ボール,0,1,122.5,0,0,0,ボール
788120,2026-03-05,Pool C,C,4,Australia,Chinese Taipei,830717,Jo-Hsi Hsu,673064,Alex Hall,2,カーブ,ストライク（見逃し）,1,1,122.6,1,0,0,ストライク
788120,2026-03-05,Pool C,C,4,Australia,Chinese Taipei,830717,Jo-Hsi Hsu,673064,Alex Hall,3,チェンジアップ,ボール,1,2,133.4,0,0,0,ボール
788120,2026-03-05,Pool C,C,4,Australia,Chinese Taipei,830717,Jo-Hsi Hsu,673064,Alex Hall,4,直球,ストライク（空振り）,2,2,145.3,1,1,0,ストライク
788120,2026-03-05,Pool C,C,4,Australia,Chinese Taipei,830717,Jo-Hsi Hsu,673064,Alex Hall,5,チェンジアップ,ストライク（空振り）,3,2,136.0,1,1,0,ストライク
788120,2026-03-05,Pool C,C,4,Australia,Chinese Taipei,830717,Jo-Hsi Hsu,673062,Jarryd Dale,1,直球,ファールチップ,1,0,148.9,1,1,1,ファール
788120,2026-03-05,Pool C,C,4,Australia,Chinese Taipei,830717,Jo-Hsi Hsu,673062,Jarryd Dale,2,直球,ボール,1,1,148.4,0,0,0,ボール
788120,2026-03-05,Pool C,C,4,Australia,Chinese Taipei,830717,Jo-Hsi Hsu,673062,Jarryd Dale,3,カットボール,インプレー,1,1,137.6,1,1,1,インプレー
788120,2026-03-05,Pool C,C,5,Chinese Taipei,Australia,672552,Jack O'Loughlin,808997,Kun-Yu Chiang,1,直球,ボール,0,1,151.3,0,0,0,ボール
788120,2026-03-05,Pool C,C,5,Chinese Taipei,Australia,672552,Jack O'Loughlin,808997,Kun-Yu Chiang,2,スライダー,ボール,0,2,141.1,0,0,0,ボール
788120,2026-03-05,Pool C,C,5,Chinese Taipei,Australia,672552,Jack O'Loughlin,808997,Kun-Yu Chiang,3,スライダー,ストライク（見逃し）,1,2,141.0,1,0,0,ストライク
788120,2026-03-05,Pool C,C,5,Chinese Taipei,Australia,672552,Jack O'Loughlin,808997,Kun-Yu Chiang,4,チェンジアップ,ストライク（空振り）,2,2,139.4,1,1,0,ストライク
788120,2026-03-05,Pool C,C,5,Chinese Taipei,Australia,672552,Jack O'Loughlin,808997,Kun-Yu Chiang,5,直球,インプレー,2,2,150.5,1,1,1,インプレー
788120,2026-03-05,Pool C,C,5,Chinese Taipei,Australia,672552,Jack O'Loughlin,624407,Tzu-Wei Lin,1,スイーパー,ストライク（見逃し）,1,0,132.1,1,0,0,ストライク
788120,2026-03-05,Pool C,C,5,Chinese Taipei,Australia,672552,Jack O'Loughlin,624407,Tzu-Wei Lin,2,スイーパー,ボール,1,1,133.9,0,0,0,ボール
788120,2026-03-05,Pool C,C,5,Chinese Taipei,Australia,672552,Jack O'Loughlin,624407,Tzu-Wei Lin,3,スライダー,ストライク（見逃し）,2,1,138.7,1,0,0,ストライク
788120,2026-03-05,Pool C,C,5,Chinese Taipei,Australia,672552,Jack O'Loughlin,624407,Tzu-Wei Lin,4,直球,インプレー,2,1,151.0,1,1,1,インプレー
788120,2026-03-05,Pool C,C,5,Chinese Taipei,Australia,672552,Jack O'Loughlin,830725,Shao-Hung Chiang,1,直球,インプレー,0,0,152.4,1,1,1,インプレー
788120,2026-03-05,Pool C,C,5,Australia,Chinese Taipei,696040,Po-Yu Chen,678534,Rixon Wingrove,1,カーブ,ヒットバイピッチ,0,1,127.8,0,0,0,ボール
788120,2026-03-05,Pool C,C,5,Australia,Chinese Taipei,696040,Po-Yu Chen,564434,Robbie Perkins,1,直球,ストライク（空振り）,1,0,150.2,1,1,0,ストライク
788120,2026-03-05,Pool C,C,5,Australia,Chinese Taipei,696040,Po-Yu Chen,564434,Robbie Perkins,2,直球,ボール,1,1,149.2,0,0,0,ボール
788120,2026-03-05,Pool C,C,5,Australia,Chinese Taipei,696040,Po-Yu Chen,564434,Robbie Perkins,3,直球,エラー（投球）,1,1,147.1,0,0,0,ボール
788120,2026-03-05,Pool C,C,5,Australia,Chinese Taipei,696040,Po-Yu Chen,678521,Chris Burke,1,直球,ストライク（見逃し）,1,0,150.6,1,0,0,ストライク
788120,2026-03-05,Pool C,C,5,Australia,Chinese Taipei,696040,Po-Yu Chen,678521,Chris Burke,2,チェンジアップ,ストライク（空振り）,2,0,135.8,1,1,0,ストライク
788120,2026-03-05,Pool C,C,5,Australia,Chinese Taipei,696040,Po-Yu Chen,678521,Chris Burke,3,チェンジアップ,ストライク（空振り）,3,0,136.0,1,1,0,ストライク
788120,2026-03-05,Pool C,C,5,Australia,Chinese Taipei,696040,Po-Yu Chen,470491,Tim Kennelly,1,直球,ボール,0,1,150.8,0,0,0,ボール
788120,2026-03-05,Pool C,C,5,Australia,Chinese Taipei,696040,Po-Yu Chen,470491,Tim Kennelly,2,ツーシーム,ボール,0,2,141.8,0,0,0,ボール
788120,2026-03-05,Pool C,C,5,Australia,Chinese Taipei,696040,Po-Yu Chen,470491,Tim Kennelly,3,直球,ボール,0,3,150.6,0,0,0,ボール
788120,2026-03-05,Pool C,C,5,Australia,Chinese Taipei,696040,Po-Yu Chen,470491,Tim Kennelly,4,直球,ストライク（見逃し）,1,3,150.5,1,0,0,ストライク
788120,2026-03-05,Pool C,C,5,Australia,Chinese Taipei,696040,Po-Yu Chen,470491,Tim Kennelly,5,ツーシーム,ボール,1,4,147.1,0,0,0,ボール
