試合ID,日付,ラウンド,プール,守備チーム,投手ID,投手,投球回,投球回（小数）,自責点,失点,被安打,奪三振,与四球,被本塁打,対戦打者数,投球数
788128,2026-03-06,Pool B,B,Brazil,806891,Joao Gabriel Marostica,2.1,2.3333333333333335,1,1,0,0,3,0,11,35
788128,2026-03-06,Pool B,B,Brazil,627387,Hugo Kanabushi,0.2,0.6666666666666666,1,1,2,0,0,0,4,15
788128,2026-03-06,Pool B,B,Brazil,838355,Tomas Lopez,0.1,0.3333333333333333,4,4,1,1,3,0,5,25
788128,2026-03-06,Pool B,B,Brazil,836637,Vitor Takahashi,0.2,0.6666666666666666,2,2,1,0,2,0,5,21
788117,2026-03-07,Pool C,C,Chinese Taipei,800018,Chen Zhong-Ao Zhuang,2.2,2.6666666666666665,0,0,2,4,1,0,12,55
788117,2026-03-07,Pool C,C,Chinese Taipei,801179,Yu-Min Lin,2.1,2.3333333333333335,0,0,2,3,0,0,9,30
788117,2026-03-07,Pool C,C,Chinese Taipei,666020,Kai-Wei Lin,1.0,1.0,0,0,0,1,0,0,3,10
788117,2026-03-07,Pool C,C,Chinese Taipei,809004,Jyun-Yue Tseng,1.0,1.0,0,0,0,2,0,0,3,15
788117,2026-03-07,Pool C,C,Czechia,626416,Jan Novak,2.2,2.6666666666666665,6,6,5,3,3,1,16,48
788117,2026-03-07,Pool C,C,Czechia,667766,Tomas Duffek,1.1,1.3333333333333333,2,2,1,1,2,0,7,31
788117,2026-03-07,Pool C,C,Czechia,808951,Jeff Barto,0.2,0.6666666666666666,1,1,2,0,1,0,5,15
788117,2026-03-07,Pool C,C,Czechia,693978,Lukas Hlouch,0.1,0.3333333333333333,0,0,0,0,0,0,1,4
788117,2026-03-07,Pool C,C,Czechia,626423,Martin Schneider,0.1,0.3333333333333333,3,3,1,1,1,0,4,13
788117,2026-03-07,Pool C,C,Czechia,807828,Boris Vecerka,0.0,0.0,2,2,1,0,1,0,3,12
788117,2026-03-07,Pool C,C,Czechia,693972,Filip Capka,1.2,1.6666666666666665,0,0,1,1,0,0,6,19
788118,2026-03-07,Pool C,C,Korea,808978,Young Pyo Ko,2.2,2.6666666666666665,4,4,3,4,1,3,12,51
788118,2026-03-07,Pool C,C,Korea,823568,Byeong Hyeon Jo,1.1,1.3333333333333333,1,1,1,1,1,1,5,26
788118,2026-03-07,Pool C,C,Korea,838333,Ju Young Son,1.0,1.0,0,0,1,1,0,0,4,18
788118,2026-03-07,Pool C,C,Korea,808970,Woo-Suk Go,1.0,1.0,0,0,0,0,0,0,3,13
788118,2026-03-07,Pool C,C,Korea,823561,Yeong Hyun Park,0.2,0.6666666666666666,2,2,0,0,2,0,4,14
788118,2026-03-07,Pool C,C,Korea,838342,Young Kyu Kim,0.0,0.0,1,1,1,0,2,0,3,12
788118,2026-03-07,Pool C,C,Korea,823559,Taek Yeon Kim,1.1,1.3333333333333333,0,0,1,2,0,0,5,21
788118,2026-03-07,Pool C,C,Japan,579328,Yusei Kikuchi,3.0,3.0,3,3,6,4,0,0,15,63
788118,2026-03-07,Pool C,C,Japan,808955,Hiromi Itoh,3.0,3.0,2,2,1,6,0,1,11,52
788118,2026-03-07,Pool C,C,Japan,684001,Atsuki Taneichi,1.0,1.0,0,0,0,3,0,0,3,15
788118,2026-03-07,Pool C,C,Japan,838346,Yuki Matsumoto,1.0,1.0,1,1,2,2,2,0,7,27
788118,2026-03-07,Pool C,C,Japan,808962,Taisei Ota,1.0,1.0,0,0,0,0,0,0,3,7
788138,2026-03-07,Pool A,A,Colombia,666123,Austin Bergner,2.0,2.0,2,2,2,1,1,1,9,33
788138,2026-03-07,Pool A,A,Colombia,677013,Rio Gomez,0.2,0.6666666666666666,1,1,2,1,0,0,4,22
788138,2026-03-07,Pool A,A,Colombia,627218,Emerson Martinez,1.1,1.3333333333333333,0,0,0,2,1,0,6,24
788138,2026-03-07,Pool A,A,Colombia,666669,Elkin Alcala,1.0,1.0,0,0,0,0,0,0,3,13
788138,2026-03-07,Pool A,A,Colombia,664375,Ezequiel Zabaleta,1.0,1.0,0,0,0,1,0,0,3,12
788138,2026-03-07,Pool A,A,Colombia,642857,Yapson Gomez,0.1,0.3333333333333333,0,1,1,1,1,0,4,13
788138,2026-03-07,Pool A,A,Colombia,670871,Guillo Zuñiga,1.0,1.0,3,3,2,0,1,0,5,17
788138,2026-03-07,Pool A,A,Colombia,664584,Jhon Romero,0.1,0.3333333333333333,1,1,1,0,3,0,5,22
